 21/3/2021,, 22/3/2021,, 23/3/2021,, 24/3/2021,, 25/3/2021,, 26/3/2021,, 27/3/2021,
morn,after,morn,after,morn,after,morn,after,morn,after,morn,after,morn,after
"{'uid': '6', 'fac_dept': 'MECH', 'dept': 'MECH', 'date': ' 21/3/2021', 'slot': 'morn', 'categ': 'supervision', 'email': None}","{'uid': '22', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 21/3/2021', 'slot': 'after', 'categ': 'supervision', 'email': '22@gmail.com'}","{'uid': '3', 'fac_dept': 'MECH', 'dept': 'MECH', 'date': ' 22/3/2021', 'slot': 'morn', 'categ': 'supervision', 'email': '3@gmail.com'}","{'uid': '16', 'fac_dept': 'ETRX', 'dept': 'MECH', 'date': ' 22/3/2021', 'slot': 'after', 'categ': 'supervision', 'email': None}",,,,,,,"{'uid': '13', 'fac_dept': 'ETRX', 'dept': 'MECH', 'date': ' 26/3/2021', 'slot': 'morn', 'categ': 'supervision', 'email': None}","{'uid': '4', 'fac_dept': 'MECH', 'dept': 'MECH', 'date': ' 26/3/2021', 'slot': 'after', 'categ': 'supervision', 'email': None}","{'uid': '1', 'fac_dept': 'MECH', 'dept': 'MECH', 'date': ' 27/3/2021', 'slot': 'morn', 'categ': 'supervision', 'email': '221@gmail.com'}","{'uid': '22', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 27/3/2021', 'slot': 'after', 'categ': 'supervision', 'email': '22@gmail.com'}"
"{'uid': '23', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 21/3/2021', 'slot': 'morn', 'categ': 'reliever', 'email': '23@gmail.com'}","{'uid': '13', 'fac_dept': 'ETRX', 'dept': 'MECH', 'date': ' 21/3/2021', 'slot': 'after', 'categ': 'special', 'email': None}","{'uid': '5', 'fac_dept': 'MECH', 'dept': 'MECH', 'date': ' 22/3/2021', 'slot': 'morn', 'categ': 'special', 'email': None}","{'uid': '11', 'fac_dept': 'ETRX', 'dept': 'MECH', 'date': ' 22/3/2021', 'slot': 'after', 'categ': 'special', 'email': '11@gmail.com'}",,,,,,,"{'uid': '1', 'fac_dept': 'MECH', 'dept': 'MECH', 'date': ' 26/3/2021', 'slot': 'morn', 'categ': 'reliever', 'email': '221@gmail.com'}","{'uid': '23', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 26/3/2021', 'slot': 'after', 'categ': 'supervision', 'email': '23@gmail.com'}","{'uid': '23', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 27/3/2021', 'slot': 'morn', 'categ': 'reliever', 'email': '23@gmail.com'}","{'uid': '26', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 27/3/2021', 'slot': 'after', 'categ': 'supervision', 'email': None}"
,"{'uid': '26', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 21/3/2021', 'slot': 'after', 'categ': 'reliever', 'email': None}","{'uid': '26', 'fac_dept': 'COMP', 'dept': 'MECH', 'date': ' 22/3/2021', 'slot': 'morn', 'categ': 'reliever', 'email': None}","{'uid': '1', 'fac_dept': 'MECH', 'dept': 'MECH', 'date': ' 22/3/2021', 'slot': 'after', 'categ': 'reliever', 'email': '221@gmail.com'}",,,,,,,,"{'uid': '15', 'fac_dept': 'ETRX', 'dept': 'MECH', 'date': ' 26/3/2021', 'slot': 'after', 'categ': 'reliever', 'email': '15@gmail.com'}",,"{'uid': '11', 'fac_dept': 'ETRX', 'dept': 'MECH', 'date': ' 27/3/2021', 'slot': 'after', 'categ': 'reliever', 'email': '11@gmail.com'}"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
